धातुः	मूलधातुः	धात्वर्थः	गणः	कर्मकत्वं	इट्त्वं	उपग्रहः	रूपम्	अनुबन्धादिविशेषः	टिप्पणिः
अर्व्	अर्व	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	अर्वति		
अर्ह्	अर्ह	पूजायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	अर्हति		
अर्ह्	अर्ह	पूजायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	अर्हयति-ते/ अर्हति-ते	आधृषीयः	
अल्	अल	भूषण-पर्याप्ति-वारणेषु	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	अलति-ते		
अव्	अव	रक्षणादिः	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	अवति		
अश्	अश	भोजने	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	अश्नाति		
अश्	अशू	व्याप्तौ/ सङ्घाते च	स्वादिः	सकर्मकः	वेट्	आत्मनेपदी	अश्नुते		
अष्	अष	गति-दीप्ति-आदानेषु	भ्वादिः	सकर्मकः/ दीप्तौ अकर्मकः	सेट्	उभयपदी	अषति-ते		
अस्	अस	गति-दीप्ति-आदानेषु	भ्वादिः	सकर्मकः/ दीप्तौ अकर्मकः	सेट्	उभयपदी	असति-ते		
अस्	अस	भुवि	अदादिः	अकर्मकः	सेट्	परस्मैपदी	अस्ति		
अस्	असु	क्षेपणे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	अस्यति	उदित्	पुषादिः
असूञ्	असूञ्	उपतापे	कण्ड्वादिः				असूयति		
अह्	अह	व्याप्तौ	स्वादिः	सकर्मकः	सेट्	परस्मैपदी	अह्नोति		छान्दसः
अंह्	अहि	गतौ	स्वादिः/ भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	अंहते	इदित्	
अंह्	अहि	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	अंहयति-ते	इदित्	
आञ्च्छ्	आच्छि	आयामे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	आञ्छति	इदित्	
आप्	आप्ऌ	व्याप्तौ	स्वादिः		अनिट्	परस्मैपदी	आप्नोति	ऌदित्	
आप्	आप्ऌ	लम्भने	चुरादिः	सकर्मकः	सेट्	उभयपदी	आपयति-ते/ आपति-ते	ऌदित्	आधृषीयः
आस्	आस	उपवेशने	अदादिः	अकर्मकः	सेट्	आत्मनेपदी	आस्ते		
इ	इ	गतौ	भ्वादिः	सकर्मकः	अनिट्	परस्मैपदी	अयति		
इ	इक्	स्मरणे	अदादिः	सकर्मकः	अनिट्	परस्मैपदी	अध्येति		नित्यमधिपूर्वः
इख्	इख	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	एखति		
इङ्ख्	इखि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	इङ्खति	इदित्	प्रायः प्र-पूर्वकः
इङ्ग्	इगि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	इङ्गति	इदित्	
इ	इङ्	अध्ययने	अदादिः	सकर्मकः	अनिट्	आत्मनेपदी	अधीते		नित्यमधिपूर्वः
इट्	इट	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	एटति		
इ	इण्	गतौ	अदादिः	सकर्मकः	अनिट्	परस्मैपदी	एति		
इन्द्	इदि	परमैश्वर्ये	अदादिः/ भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	इन्दति	इदित्	
इन्ध्	ञिइन्धी	दीप्तौ	रुधादिः	अकर्मकः	सेट्	आत्मनेपदी	इन्धे	ईदित्/ ञीत्	
इयस्	इयस्	ऐश्वर्ये	कण्ड्वादिः				इयस्यति		
इरज्	इरज्	ईर्ष्यायाम्	कण्ड्वादिः				इरज्यति		
इर्	इरञ्	ईर्ष्यायाम्	कण्ड्वादिः				ईर्यति		
इरस्	इरस्	ईर्ष्यायाम्	कण्ड्वादिः				इरस्यति		
इल्	इल	स्वप्न-क्षेपणयोः	तुदादिः	स्वप्ने अकर्मकः/ क्षेपणे सकर्मकः	सेट्	परस्मैपदी	इलति		
इल्	इल	प्रेरणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	इलयति-ते		
इन्व्	इवि	व्याप्तौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	इन्वति	इदित्	
इष्	इष	गतौ	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	इष्यति		
इष्	इष	आभीक्ष्ण्ये	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	इष्णाति		
इष्	इष	इच्छायाम्	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	इच्छति		
इषुध्	इषुध	शरधारणे	कण्ड्वादिः				इषुध्यति		
ई	ई	गतौ	भ्वादिः	सकर्मकः	अनिट्	परस्मैपदी	अयति		
ई	ई	गति-प्रजन-कान्ति-असन-खादनेषु	अदादिः	अर्थानुगुण्यम्--	अनिट्	परस्मैपदी	एति		
ईक्ष्	ईक्ष	दर्शने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	ईक्षते		
ईङ्ख्	ईखि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ईङ्खति	इदित्	
ई	ईङ्	गतौ	दिवादिः	सकर्मकः	अनिट्	आत्मनेपदी	ईयते		
ईज्	ईज	गति-कुत्सनयोः	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	ईजते		
ईड्	ईड	स्तुतौ	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	ईडे		
ईड्	ईड	गतौ	चुरादिः	सकर्मकः	सेट्	उभयपदी	ईडयति		
ईर्	ईर	गतौ-कम्पने च	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	ईर्ते		
ईर्	ईर	क्षेपे	चुरादिः	सकर्मकः	सेट्	उभयपदी	ईरयति-ते		
ईर्क्ष्य्	ईर्क्ष्य	ईर्ष्यायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ईर्क्ष्यति		
ईर्ष्य्	ईर्ष्य	ईर्ष्यायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ईर्ष्यति		
ईश्	ईश	ऐश्वर्ये	अदादिः	अकर्मकः	सेट्	आत्मनेपदी	ईष्टे		
ईष्	ईष	गति-हिंसा-दर्शनेषु	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	ईषते		
ईष्	ईष	उञ्छे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ईषति		
ईह्	ईह	चेष्टायाम्	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	(सम्)ईहते		
उक्ष्	उक्ष	सेचने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	उक्षति		
उख्	उख	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ओखति		
उङ्ख्	उखि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	उङ्खति		
उङ् 	उ	शब्दे	भ्वादिः	अकर्मकः	अनिट्	आत्मनेपदी	अवते		
उच्	उच	समवाये (सङ्गमो मिश्रणम्)	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	उच्यति	पुषादिः	
उञ्छ्	उच्छि	उञ्छे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	उञ्छति		
उञ्छ्	उच्छि	उञ्छे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	उञ्छति	स्वरे विशेषः	
उच्छ्	उच्छी	विवासे (समाप्तिः)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	(वि)उच्छति		
उच्छ्	उच्छी	विवासे	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	(वि)उच्छति	स्वरे विशेषः	
उज्झ्	उज्झ	उत्सर्गे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	उज्झति		
उठ्	उठ	उपघाते	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ओठति		
उध्रस्	उध्रस	उञ्छे	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	उध्रस्नाति	ध्रस्नाति	उकारो धात्ववय इत्येके। ध्रस¦ कणश आदाने क्य्रा० पर० सक० सेट् । ध्रस्नाति अध्र- सीत् अध्रासीत् दध्रास । उदित् ध्रसित्वा ध्रस्त्वा । ध्रस्तः ।--वाच..
उन्द्	उन्दी	क्लेदने	रुधादिः	सकर्मकः	सेट्	परस्मैपदी	उनत्ति		
उब्ज्	उब्ज	आर्जवे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	उब्जति		
उभ्	उभ	पूरणे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	उभति		
उम्भ्	उम्भ	पूरणे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	उम्भति	कुम्भः	
उरस्		बलार्थे	कण्ड्वादिः				उरस्यति		
उर्द्	उर्द	माने क्रीडायां च	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	ऊर्दते		
उर्व्	उर्वी	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ऊर्वति	ईदित्	
उष्	उष	दाहे	भ्वादिः	सकर्मकः		परस्मैपदी	ओषति	उष्णः	
उषस्		प्रभातभावे	कण्ड्वादिः				उषस्यति		
उह्	उहिर्	अर्दने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ओहति	इरित्	
ऊठ्	ऊठ	उपघाते	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ऊठति		
ऊन्	ऊन	परिहाणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	ऊनयति-ते	ऊनं-हीनम्	
ऊय्	ऊयी	तन्तुसन्ताने	भ्वादिः	सकर्मकः	सेट्	उभयपदी	ऊयते		
ऊर्ज्	ऊर्ज	बलप्राणनयोः	चुरादिः	सकर्मकः	सेट्	उभयपदी	ऊर्जयति-ते	ऊर्जस्वी- अधिकबलवान्	
ऊर्ण्	ऊर्णुञ्	आच्छादने	अदादिः	सकर्मकः	सेट्	उभयपदी	ऊर्णोति-ऊर्णौति		
ऊष्	ऊष	रुजायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ऊषति	ऊषरः-क्षारभूमिः	
ऊह्	ऊह	वितर्के	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	ऊहते		
ऋ	ऋ	गतिप्रापणयोः	भ्वादिः	सकर्मकः	अनिट्	परस्मैपदी	ऋच्छति		
ऋ	ऋ	गतौ	जुहोत्यादिः	सकर्मकः	अनिट्	परस्मैपदी	इयर्ति		
ऋच्	ऋच	स्तुतौ	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	ऋचति		
ऋच्छ्	ऋच्छ	गति-प्रलय-इन्द्रिय-मूर्तिभावेषु	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	ऋच्छति		
ऋज्	ऋज	गति-स्थान-अर्जन-उपार्जनेषु	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	अर्जते		
ऋञ्ज्	ऋजि	भर्जने (भर्जनं पाकविशेषः)	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	ऋञ्जते	इदित्	
ऋण्	ऋणु	गतौ	तनादिः	सकर्मकः	सेट्	उभयपदी	ऋणोति/ अर्णोति	उदित्	
ऋध्	ऋधु	वृद्धौ	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	ऋध्यति	पुषादिः	
ऋध्	ऋधु	वृद्धौ	स्वादिः	अकर्मकः	सेट्	परस्मैपदी	ऋध्नोति		
ऋफ्	ऋफ	हिंसायाम्	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	ऋफति		
ऋम्फ्	ऋम्फ	हिंसायाम्	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	ऋम्फति		
ऋष्	ऋषी	गतौ	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	ऋषति	ऋषिः	
ॠ	ॠ	गतौ	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	ॠणाति	प्वादिः	
एज्	एजृ	दीप्तौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	एजते		
एज्	एजृ	कम्पने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	एजति		
एठ्	एठ	विबाधायाम्	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	एठते		
एध्	एध	वृद्धौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	एधते		
एला		विलासे	कण्ड्वादिः				एलायति		
एष्	एषृ	गतौ/ प्रयत्ने च	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	एषते	ऋदित्	
ओख्	ओखृ	शोषण-अलमर्थयोः	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	ओखति	ऋदित्	
ओण्	ओणृ	अपनयने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	ओणति		
कक्	कक	लौल्ये (गर्वश्चापल्यं च)	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	ककते	काकः	
कङ्क्	ककि	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	कङ्कते	इदित्	
कख्	कखे	हसने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कखति	एदित्	
कग्	कगे	अनेकार्थः/ क्रियासामान्यार्थः	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कगति	एदित्	
कच्	कच	बन्धने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	कचते		
कञ्च्	कचि	दीप्ति-बन्धनयोः	भ्वादिः	दीप्तौ अकर्मकः/ बन्धने सकर्मकः	सेट्	आत्मनेपदी	कञ्चते	इदित्	
कट्	कटी	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कटति	ईदित्	
कट्	कटे	वर्षावरणयोः	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कटति	एदित्	
कठ्	कठ	कृच्छ्रजीवने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कठति	कठिनम्	
कण्ठ्	कठि	शोके (आध्यानम्)	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	कण्ठते	शोक इह आध्यानम्	
कण्ठ्	कठि	शोके 	चुरादिः	अकर्मकः	सेट्	उभयपदी	कण्ठयति-ते/ कण्ठति-ते	आधृषीयः/ शोक इह आध्यानम्	
कड्	कड	मदे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कडति		
कड्	कड	बन्धने/ मदे च	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	कडति	कुटादिः	
कड्	कडि	मदे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कण्डति		
कण्ड्	कडि	मदे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	कण्डते		
कण्ड्	कडि	भेदने	चुरादिः	सकर्मकः	सेट्	उभयपदी	कण्डयति-ते		
कड्ड्	कड्ड	कार्कश्ये (कठोरत्वं)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कड्डति		
कण्	कण	शब्दे/ गतौ च	भ्वादिः	अकर्मकः/ सकर्मकश्च	सेट्	परस्मैपदी	कणति		
कण्	कण	सङ्कोचने	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	काणयते	आकुस्मीयः	
कण्	कण	निमीलने	चुरादिः	सकर्मकः	सेट्	उभयपदी	काणयति-ते	काण्यादिः	
कण्डूञ्		गात्रविधर्षणे	कण्ड्वादिः				कण्डूयति		
कत्थ्	कत्थ	श्लाघायाम्	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	कत्थते		
कत्र्	कत्र	शैथिल्ये	चुरादिः	अकर्मकः	सेट्	उभयपदी	कत्रयति-ते		
कथ्	कथ	वाक्यप्रबन्धे	चुरादिः	सकर्मकः	सेट्	उभयपदी	कथयति-ते		
कन्द्	कदि	आह्वाने रोदने च	भ्वादिः	आह्वाने सकर्मकः/ रोदने अकर्मकः	सेट्	परस्मैपदी	कन्दति		
कन्द्	कदि	वैक्लव्ये (भयादिना अभिभवः)/  वैकल्य इत्येके (वैकल्यं न्यूनत्वम्)	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	कन्दते	घटादिः	
कन् 	कनी	दीप्ति-कान्ति-गतिषु (कान्तिः कामना)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कनति	इदित्	
कम्प्	कपि	चलने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	कम्पते	ऋदित्	
कब्	कबृ	वर्णे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	कबते	ऋदित्	
कम् 	कमु	कान्तौ (इच्छा)	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	कामयते	अयं न मित्	
कर्ज्	कर्ज	व्यथने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कर्जति		
कर्ज्	कर्ज	पीडने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कर्जति		कर्ज्जपीडायाम्¦ भ्वा० पर० सक० सेट् । कर्जति अकर्जीत् । चकर्ज्ज प्रनिकर्ज्जति ।
कर्ण्	कर्ण	भेदने	चुरादिः	सकर्मकः	सेट्	उभयपदी	कर्णयति-ते		
कर्द्	कर्द	कुत्सिते शब्दे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कर्दति		
कर्ब्	कर्ब	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कर्बति		
कर्व्	कर्व	दर्पे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कर्वति		
कल्	कल	शब्दसंख्यानयोः	भ्वादिः	शब्दे सकर्मकः/ सङ्ख्याने अकर्मकः	सेट्	आत्मनेपदी	कलते		
कल्	कल	क्षेपे	चुरादिः	सकर्मकः	सेट्	उभयपदी	कालयति-ते		
कल्	कल	गतौ संख्याने च	चुरादिः	सकर्मकः	सेट्	उभयपदी	कलयति-ते	अदन्तः	
कल्ल्	कल्ल	अव्यक्ते शब्दे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	कल्लते		
कश्	कश	गति-शासनयोः	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	कष्टे/ कशाते/ कशते		
कंश्	कशि	गति-शासनयोः	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	कंष्टे		
कस्	कस	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कसति		
कंस्	कसि	गति-शासनयोः	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	कंस्ते		
काङ्क्ष्	काक्षि	काङ्क्षायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	काङ्क्षति		
काञ्च्	काचि	दीप्तबन्धनयोः	भ्वादिः	दीप्तौ अकर्मकः/ बन्धने सकर्मकः	सेट्	आत्मनेपदी	काञ्चते	इदित्	
काल्	काल	कालोपदेशे	चुरादिः	सकर्मकः	सेट्	उभयपदी	कालयति-ते		
काश्	काशृ	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	काशते		
काश्	काशृ	दीप्तौ	दिवादिः	अकर्मकः	सेट्	आत्मनेपदी	काश्यते		
कास्	कासृ	शब्दकुत्सायाम्	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	कासते		
कि	कि	ज्ञाने	जुहोत्यादिः	सकर्मकः	अनिट्	परस्मैपदी	चिकेति	छान्दसः	
किट्	किट	त्रासे/ गतौ च	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	केटति		
कित्	कित	निवासे/ रोगापनयने च	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	चिकित्सति	निवासार्थे- केतति इति वोपदेवः	
किल्	किल	श्वैत्ये/ क्रीडायां च	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	किलति		
कीट्	कीट	वर्णे	चुरादिः	अकर्मकः	सेट्	उभयपदी	कीटयति-ते		
कील्	कील	बन्धने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कीलति		
कु	कु	शब्दे	अदादिः	अकर्मकः	अनिट्	परस्मैपदी	कौति	उकारान्तः	
कुक्	कुक	आदाने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	कोकते		
कु	कुङ्	शब्दे	भ्वादिः	अकर्मकः	अनिट्	आत्मनेपदी	कवते	उकारान्तः	
कु	कुङ्	शब्दे	तुदादिः	अकर्मकः	अनिट्	आत्मनेपदी	कुवते	कुटादिः/ उकारान्तः	
कुच्	कुच	सम्पर्चन-कौटिल्य-प्रतिष्टम्भ-विलेखनेषु	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कोचति		
कुच्	कुच	सङ्कोचने (ह्रस्वीभवनम्)	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	(सं)कुचति	कुटादिः	
कुञ्च्	कुञ्च	कौटीय-अल्पीभावयोः	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	कुञ्चति		
कुज्	कुजु	स्तेयकरणे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	कोजति	उदित्	
कुट्	कुट	कौटिल्ये	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	कुटति	कुटादिः	
कुट्	कुट	छेदने	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	कोटयते	आकुस्मीयः	
कुट्ट्	कुट्ट	छेदन-भर्त्सनयोः/ पूरण इत्येके	चुरादिः	सकर्मकः	सेट्	उभयपदी	कुट्टयति-ते		
कुट्ट्	कुट्ट	प्रतापने	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	कुट्टयते	आकुस्मीयः	
कुण्ठ्	कुठि	वेष्टने	चुरादिः	सकर्मकः	सेट्	उभयपदी	कुण्ठयति-ते	इदित्	
